Release_ID,Datum,Commit_SHA,Image_Tag,Image_Digest,Workflow_Run,SBOM,Scan_Ergebnis,Bemerkung
v1.0.0,2026-08-22,a4c49abd81d9f5c4472b90110cb3fca5ae0348c2,ghcr.io/isangare-ux/pacman-app:a4c49abd81d9f5c4472b90110cb3fca5ae0348c2,sha256:114b3c9505cf4dde0e58101127f4e2ae6395928e7f013e33e7c8039cc2496490,32585355704,Nicht erzeugt,"Trivy-Security-Scan erfolgreich; keine behebbaren HIGH/CRITICAL Findings, die das konfigurierte Release-Gate ausgelöst haben.",Erfolgreicher Release-Run auf main; GHCR-Pull und Image-Digest technisch nachgewiesen.
v1.0.0,2026-08-22,a4c49abd81d9f5c4472b90110cb3fca5ae0348c2,ghcr.io/isangare-ux/pacman-app:v1.0.0,sha256:114b3c9505cf4dde0e58101127f4e2ae6395928e7f013e33e7c8039cc2496490,32585355704,Nicht erzeugt,"Trivy-Security-Scan erfolgreich; keine behebbaren HIGH/CRITICAL Findings, die das konfigurierte Release-Gate ausgelöst haben.",Fachlicher Release-Tag v1.0.0 verweist auf denselben Image-Inhalt wie der Commit-SHA-Tag.
