Umgebung,Deployment,Replicas,Image,Tag,Port,Service,Selector,RollingUpdate,Grace_Period,ServiceAccount,ImagePull,Test_ID,Ergebnis
dev,pacman,1,ghcr.io/isangare-ux/pacman-app,b66076cf637e3fb4a3675064e4671cada37b2a1d (aktueller Dev-Tag; automatisch durch Release-Workflow gesetzt),80 -> 8080,pacman (ClusterIP),app.kubernetes.io/name=pacman,maxSurge 1 / maxUnavailable 0,30s,pacman (eigener ServiceAccount),IfNotPresent (unveraenderlicher Commit-SHA-Tag),T16,"1/1 Ready/Available; Readiness-Probe (/highscores/list) gruen; live bestaetigt"
prod,pacman,3,ghcr.io/isangare-ux/pacman-app,2ae1f2e41c992fdbb81107aac79e66afe7ef2ea1 (Rollback-Ziel T29),80 -> 8080,pacman (ClusterIP),app.kubernetes.io/name=pacman,maxSurge 1 / maxUnavailable 0,30s,pacman (eigener ServiceAccount),IfNotPresent (unveraenderlicher Commit-SHA-Tag),T30,"3/3 Ready/Available; Argo CD Synced/Healthy; live bestaetigt"
